gender,party,race,age_at_year_end
Male,Unaffiliated,Black or African American,31
Unspecified,Unaffiliated,Undesignated,19
Female,Unaffiliated,White,39
Male,Democratic,White,39
Male,Democratic,Asian,26
Unspecified,Democratic,Undesignated,31
Female,Democratic,White,28
Male,Democratic,White,35
Male,Democratic,Asian,19
Male,Unaffiliated,White,37
Female,Democratic,Other,56
Female,Democratic,White,67
Male,Democratic,Black or African American,23
Unspecified,Democratic,White,81
Male,Unaffiliated,Black or African American,21
Male,Democratic,Black or African American,59
Female,Democratic,Black or African American,55
Female,Democratic,Black or African American,49
Female,Democratic,White,32
Female,Democratic,White,28
Female,Democratic,White,69
Female,Democratic,White,29
Male,Unaffiliated,White,63
Unspecified,Unaffiliated,Undesignated,33
Female,Democratic,White,30
Male,Libertarian,Black or African American,29
Female,Democratic,Black or African American,52
Unspecified,Unaffiliated,Undesignated,39
Male,Unaffiliated,Other,32
Male,Republican,Other,80
Female,Democratic,Other,19
Female,Unaffiliated,White,77
Male,Democratic,Other,37
Unspecified,Unaffiliated,Undesignated,38
Male,Republican,White,48
Male,Unaffiliated,Asian,67
Unspecified,Unaffiliated,Undesignated,63
Unspecified,Democratic,Undesignated,30
Female,Unaffiliated,Other,61
Female,Unaffiliated,White,41
Unspecified,Unaffiliated,Undesignated,53
Male,Unaffiliated,Black or African American,43
Female,Republican,Other,64
Male,Democratic,Two or more Races,30
Female,Democratic,Other,29
Female,Unaffiliated,White,51
Male,Unaffiliated,White,39
Female,Unaffiliated,White,64
Unspecified,Unaffiliated,Undesignated,27
Unspecified,Democratic,Undesignated,29
Female,Unaffiliated,Black or African American,30
Female,Democratic,Undesignated,35
Female,Unaffiliated,White,75
Female,Unaffiliated,White,70
Male,Unaffiliated,Other,40
Male,Unaffiliated,Two or more Races,19
Male,Democratic,Other,35
Female,Unaffiliated,Asian,26
Male,Democratic,Asian,31
Male,Unaffiliated,Asian,24
Unspecified,Democratic,Undesignated,32
Unspecified,Democratic,Undesignated,29
Female,Democratic,White,27
Female,Unaffiliated,Asian,29
Female,Democratic,American Indian or Alaska Native,32
Female,Democratic,Other,59
Female,Unaffiliated,Black or African American,23
Female,Republican,White,38
Male,Republican,White,39
Female,Unaffiliated,White,79
Male,Unaffiliated,White,83
Male,Unaffiliated,White,40
Female,Democratic,White,35
Female,Democratic,Black or African American,37
Female,Democratic,Black or African American,55
Unspecified,Democratic,Black or African American,45
Male,Democratic,White,29
Female,Democratic,Black or African American,32
Male,Unaffiliated,White,22
Female,Unaffiliated,White,71
Female,Unaffiliated,White,53
Male,Democratic,White,72
Male,Democratic,White,38
Female,Democratic,Black or African American,89
Female,Democratic,White,70
Male,Democratic,White,59
Female,Democratic,Other,65
Male,Democratic,White,66
Male,Unaffiliated,White,35
Male,Unaffiliated,White,74
Female,Democratic,Black or African American,58
Female,Unaffiliated,Black or African American,27
Male,Democratic,Black or African American,75
Unspecified,Unaffiliated,White,41
Female,Republican,White,58
Female,Democratic,White,26
Female,Unaffiliated,White,21
Female,Unaffiliated,White,69
Female,Unaffiliated,White,48
Male,Unaffiliated,White,68
Male,Unaffiliated,White,71
Female,Democratic,White,71
Female,Democratic,Asian,32
Male,Democratic,White,26
Male,Democratic,Other,45
Female,Democratic,Black or African American,37
Unspecified,Democratic,Black or African American,77
Female,Unaffiliated,Black or African American,36
Unspecified,Unaffiliated,Undesignated,37
Male,Republican,White,50
Female,Democratic,Asian,59
Male,Democratic,Black or African American,61
Unspecified,Democratic,Undesignated,21
Male,Democratic,Black or African American,48
Male,Democratic,Black or African American,32
Unspecified,Unaffiliated,Undesignated,56
Male,Democratic,Black or African American,48
Female,Democratic,White,23
Female,Democratic,White,67
Male,Democratic,Black or African American,38
Male,Unaffiliated,Asian,23
Female,Democratic,Black or African American,37
Male,Unaffiliated,White,82
Male,Democratic,Undesignated,27
Female,Democratic,Black or African American,19
Female,Unaffiliated,Black or African American,59
Male,Democratic,White,77
Female,Democratic,Other,37
Male,Democratic,Other,39
Unspecified,Unaffiliated,Undesignated,65
Male,Unaffiliated,White,50
Male,Democratic,White,31
Female,Republican,Asian,32
Female,Democratic,Black or African American,34
Male,Unaffiliated,Other,36
Unspecified,Unaffiliated,Undesignated,49
Male,Unaffiliated,Other,18
Unspecified,Unaffiliated,Undesignated,50
Unspecified,Unaffiliated,Undesignated,38
Male,Democratic,Other,27
Male,Democratic,Other,87
Male,Democratic,Other,36
Female,Democratic,Asian,61
Male,Democratic,Black or African American,55
Male,Democratic,Other,62
Female,Democratic,White,66
Male,Unaffiliated,Undesignated,31
Male,Unaffiliated,Other,48
Male,Unaffiliated,Other,34
Male,Unaffiliated,Black or African American,45
Male,Democratic,Black or African American,31
Female,Democratic,White,33
Male,Unaffiliated,White,41
Male,Unaffiliated,White,28
Female,Democratic,White,81
Female,Democratic,White,35
Unspecified,Unaffiliated,Undesignated,24
Male,Unaffiliated,Black or African American,22
Female,Democratic,Black or African American,56
Female,Democratic,Black or African American,57
Male,Democratic,Black or African American,71
Female,Unaffiliated,Black or African American,22
