"surname","c_whi","c_bla","c_his","c_asi","c_oth"
"LEE",0.001466062,0.003444229,0.0002978937,0.02425083,0.00386967
"JONES",0.004629406,0.01669372,0.0007424145,0.000519837,0.007959606
"DAVIS",0.004086022,0.01073618,0.0006195089,0.0004533655,0.005646497
"SCHNEIDER",0.000568322,1.323884e-05,4.973993e-05,4.948066e-05,0.0002301662
"HERNANDEZ",0.0002326719,0.0001142801,0.02251531,0.0005187596,0.0005647425
"JEFFERSON",5.665567e-05,0.001246703,3.097658e-05,1.823408e-05,0.0004641995
"MURPHY",0.001508336,0.001082237,0.0001641168,0.0001481933,0.001163979
"JOSEPH",0.0001757867,0.00166502,6.84123e-05,0.0008166381,0.0005432418
"MILLER",0.005748443,0.003803352,0.0005732032,0.0005197541,0.004365424
"JOHNSON",0.006706994,0.02037053,0.00103742,0.0008650413,0.01046375
"CHEN",1.396973e-05,1.546053e-05,2.003698e-05,0.0135098,0.000435274
"GARCIA",0.0003691739,0.0001596878,0.02440782,0.001362749,0.001316495
"PATEL",2.84161e-05,2.656899e-05,2.299363e-05,0.01806566,0.0008179563
"TRAN",1.497009e-05,5.721614e-06,3.470651e-05,0.01499819,0.000504262
"WASHINGTON",5.396058e-05,0.004725353,0.0001024593,4.409332e-05,0.001223686
"KIM",3.890222e-05,3.11341e-05,3.877759e-05,0.02054177,0.0008034162
"RIVERA",0.00012428,0.0001130627,0.008100035,0.000661234,0.0003327201
"BROWN",0.004900327,0.01556952,0.0008236086,0.0006073606,0.007601982
"SMITH",0.01019231,0.01718222,0.001333471,0.001012323,0.01163871
"ALI",6.118671e-05,0.0005607791,3.916422e-05,0.002133885,0.0005726313
"WILLIAMS",0.004375409,0.02358401,0.000920382,0.0006196272,0.009125596
"BOOKER",6.076303e-05,0.0007312406,1.951388e-05,8.536864e-06,0.0002363535
"NGUYEN",2.446174e-05,1.597791e-05,6.27037e-05,0.03498523,0.001258954
"MOSLEY",0.0001142764,0.0007759787,2.474488e-05,1.309538e-05,0.0002787362
"ANDERSON",0.003469695,0.004519071,0.0004352869,0.0003965083,0.003457753
"OLSON",0.0009146759,1.996478e-05,7.571295e-05,8.967852e-05,0.0005454073
"PIERRE",1.406388e-05,0.00089525,2.11969e-05,8.702629e-06,0.0001650453
"BEGAY",2.012488e-06,2.343427e-06,7.095957e-06,4.144109e-06,0.002593856
"BANKS",0.0002445585,0.001755714,5.895103e-05,3.149523e-05,0.0005580912
"KOWALSKI",0.0001021661,1.521706e-06,7.596313e-06,6.713456e-06,3.805167e-05
"WANG",1.674131e-05,9.67805e-06,8.733486e-06,0.008673786,0.0002581636
"OCONNOR",0.0004255648,5.024673e-05,4.623744e-05,4.840319e-05,0.0002047984
"COHEN",0.0004660029,0.0001618486,6.666106e-05,4.873472e-05,0.0001639625
"CASTILLO",6.670634e-05,5.04902e-05,0.004730115,0.0005805068,0.0003740201
"PARK",0.000146535,2.562553e-05,2.424452e-05,0.006453704,0.0003133849
"MARTINEZ",0.000329389,0.0001580748,0.02240214,0.0005271307,0.001196926
"YAZZIE",1.388735e-06,3.043412e-07,6.618345e-06,1.077468e-06,0.002226642
"LOPEZ",0.0002500958,0.0001516836,0.01848147,0.000739309,0.0008521409
"RODRIGUEZ",0.0003060395,0.0001799265,0.02335093,0.0005172677,0.0006094455
"CHOI",4.689922e-06,4.778157e-06,6.231706e-06,0.00404465,0.0001177127
